# z_Ang d_from_mol_Ang V_A_eV V_B_eV dV_eV dV_mac_eV
0.000000e+00 -4.974545e+01 -7.829934e-01 -7.462464e-01 -4.999328e-03 1.306884e-02
7.369731e-02 -4.967176e+01 -7.742035e-01 -7.374563e-01 -4.999448e-03 1.222447e-02
1.473946e-01 -4.959806e+01 -7.482715e-01 -7.115295e-01 -4.994322e-03 1.138028e-02
2.210919e-01 -4.952436e+01 -7.069886e-01 -6.702516e-01 -4.989315e-03 1.053622e-02
2.947892e-01 -4.945067e+01 -6.539729e-01 -6.172437e-01 -4.981447e-03 9.692362e-03
3.684865e-01 -4.937697e+01 -5.942411e-01 -5.575209e-01 -4.972447e-03 8.848739e-03
4.421838e-01 -4.930327e+01 -5.325839e-01 -4.958504e-01 -4.985768e-03 8.005046e-03
5.158811e-01 -4.922957e+01 -4.718199e-01 -4.353449e-01 -4.727233e-03 7.160815e-03
5.895785e-01 -4.915588e+01 -4.133240e-01 -3.768608e-01 -4.715521e-03 6.316658e-03
6.632758e-01 -4.908218e+01 -3.594891e-01 -3.230406e-01 -4.700769e-03 5.472727e-03
7.369731e-01 -4.900848e+01 -3.132864e-01 -2.768482e-01 -4.690487e-03 4.629793e-03
8.106704e-01 -4.893478e+01 -2.775113e-01 -2.410807e-01 -4.682887e-03 3.787144e-03
8.843677e-01 -4.886109e+01 -2.547008e-01 -2.182718e-01 -4.681263e-03 2.944629e-03
9.580650e-01 -4.878739e+01 -2.441438e-01 -2.076892e-01 -4.706938e-03 2.102228e-03
1.031762e+00 -4.871369e+01 -2.450929e-01 -2.086502e-01 -4.694987e-03 1.259903e-03
1.105460e+00 -4.863999e+01 -2.571891e-01 -2.207948e-01 -4.646588e-03 4.175163e-04
1.179157e+00 -4.856630e+01 -2.793482e-01 -2.429763e-01 -4.624207e-03 -4.277565e-04
1.252854e+00 -4.849260e+01 -3.085061e-01 -2.721487e-01 -4.609633e-03 -1.272813e-03
1.326552e+00 -4.841890e+01 -3.398095e-01 -3.034620e-01 -4.599798e-03 -2.117593e-03
1.400249e+00 -4.834521e+01 -3.677225e-01 -3.313841e-01 -4.590709e-03 -2.962127e-03
1.473946e+00 -4.827151e+01 -3.878478e-01 -3.515205e-01 -4.579563e-03 -3.806451e-03
1.547643e+00 -4.819781e+01 -3.972267e-01 -3.609098e-01 -4.569132e-03 -4.650352e-03
1.621341e+00 -4.812411e+01 -3.943901e-01 -3.580821e-01 -4.560281e-03 -4.639500e-03
1.695038e+00 -4.805042e+01 -3.798002e-01 -3.435000e-01 -4.552472e-03 -4.628334e-03
1.768735e+00 -4.797672e+01 -3.556610e-01 -3.193665e-01 -4.546810e-03 -4.616917e-03
1.842433e+00 -4.790302e+01 -3.255688e-01 -2.892829e-01 -4.538167e-03 -4.605406e-03
1.916130e+00 -4.782932e+01 -2.945817e-01 -2.583058e-01 -4.528094e-03 -4.593676e-03
1.989827e+00 -4.775563e+01 -2.681663e-01 -2.318875e-01 -4.531074e-03 -4.581844e-03
2.063525e+00 -4.768193e+01 -2.504320e-01 -2.141300e-01 -4.554201e-03 -4.569403e-03
2.137222e+00 -4.760823e+01 -2.434096e-01 -2.071109e-01 -4.551057e-03 -4.561510e-03
2.210919e+00 -4.753454e+01 -2.477510e-01 -2.114620e-01 -4.541326e-03 -4.553709e-03
2.284616e+00 -4.746084e+01 -2.638163e-01 -2.275701e-01 -4.498441e-03 -4.546108e-03
2.358314e+00 -4.738714e+01 -2.926343e-01 -2.564004e-01 -4.486192e-03 -4.538593e-03
2.432011e+00 -4.731344e+01 -3.337271e-01 -2.974989e-01 -4.480470e-03 -4.530405e-03
2.505708e+00 -4.723975e+01 -3.836931e-01 -3.474699e-01 -4.475493e-03 -4.523061e-03
2.579406e+00 -4.716605e+01 -4.401248e-01 -4.039048e-01 -4.472274e-03 -4.514831e-03
2.653103e+00 -4.709235e+01 -4.998113e-01 -4.635886e-01 -4.474927e-03 -4.506868e-03
2.726800e+00 -4.701865e+01 -5.612203e-01 -5.248736e-01 -4.599024e-03 -4.498799e-03
2.800498e+00 -4.694496e+01 -6.225019e-01 -5.861645e-01 -4.589725e-03 -4.492151e-03
2.874195e+00 -4.687126e+01 -6.798058e-01 -6.434803e-01 -4.577804e-03 -4.485715e-03
2.947892e+00 -4.679756e+01 -7.280043e-01 -6.916893e-01 -4.567254e-03 -4.479453e-03
3.021590e+00 -4.672386e+01 -7.625744e-01 -7.262684e-01 -4.558254e-03 -4.473220e-03
3.095287e+00 -4.665017e+01 -7.807792e-01 -7.444915e-01 -4.540015e-03 -4.467114e-03
3.168984e+00 -4.657647e+01 -7.814772e-01 -7.451968e-01 -4.532684e-03 -4.461157e-03
3.242681e+00 -4.650277e+01 -7.646269e-01 -7.283598e-01 -4.519332e-03 -4.455368e-03
3.316379e+00 -4.642908e+01 -7.312755e-01 -6.950244e-01 -4.503358e-03 -4.449704e-03
3.390076e+00 -4.635538e+01 -6.840141e-01 -6.477720e-01 -4.494358e-03 -4.444167e-03
3.463773e+00 -4.628168e+01 -6.272473e-01 -5.910225e-01 -4.477073e-03 -4.438742e-03
3.537471e+00 -4.620798e+01 -5.661320e-01 -5.299206e-01 -4.463661e-03 -4.432180e-03
3.611168e+00 -4.613429e+01 -5.047165e-01 -4.685180e-01 -4.450787e-03 -4.425055e-03
3.684865e+00 -4.606059e+01 -4.448364e-01 -4.087009e-01 -4.387844e-03 -4.418209e-03
3.758563e+00 -4.598689e+01 -3.880701e-01 -3.519423e-01 -4.380096e-03 -4.411328e-03
3.832260e+00 -4.591319e+01 -3.375320e-01 -3.014104e-01 -4.373897e-03 -4.403610e-03
3.905957e+00 -4.583950e+01 -2.956573e-01 -2.595423e-01 -4.367340e-03 -4.396799e-03
3.979655e+00 -4.576580e+01 -2.658440e-01 -2.297654e-01 -4.330833e-03 -4.392047e-03
4.053352e+00 -4.569210e+01 -2.488659e-01 -2.127527e-01 -4.365448e-03 -4.387427e-03
4.127049e+00 -4.561841e+01 -2.436521e-01 -2.075513e-01 -4.353065e-03 -4.382869e-03
4.200746e+00 -4.554471e+01 -2.498434e-01 -2.137431e-01 -4.352558e-03 -4.378355e-03
4.274444e+00 -4.547101e+01 -2.668079e-01 -2.307606e-01 -4.299644e-03 -4.374417e-03
4.348141e+00 -4.539731e+01 -2.927026e-01 -2.566166e-01 -4.338343e-03 -4.360696e-03
4.421838e+00 -4.532362e+01 -3.235481e-01 -2.874675e-01 -4.332859e-03 -4.346870e-03
4.495536e+00 -4.524992e+01 -3.539422e-01 -3.178640e-01 -4.330564e-03 -4.332992e-03
4.569233e+00 -4.517622e+01 -3.787230e-01 -3.426526e-01 -4.322696e-03 -4.319045e-03
4.642930e+00 -4.510252e+01 -3.941831e-01 -3.581184e-01 -4.317004e-03 -4.304882e-03
4.716628e+00 -4.502883e+01 -3.980059e-01 -3.619452e-01 -4.312981e-03 -4.290731e-03
4.790325e+00 -4.495513e+01 -3.895748e-01 -3.535157e-01 -4.311342e-03 -4.276178e-03
4.864022e+00 -4.488143e+01 -3.702220e-01 -3.341653e-01 -4.308928e-03 -4.261253e-03
4.937720e+00 -4.480774e+01 -3.428005e-01 -3.067441e-01 -4.308689e-03 -4.245989e-03
5.011417e+00 -4.473404e+01 -3.115927e-01 -2.755401e-01 -4.304904e-03 -4.230263e-03
5.085114e+00 -4.466034e+01 -2.820973e-01 -2.461037e-01 -4.245911e-03 -4.214282e-03
5.158811e+00 -4.458664e+01 -2.592831e-01 -2.233107e-01 -4.224721e-03 -4.198904e-03
5.232509e+00 -4.451295e+01 -2.463696e-01 -2.103621e-01 -4.259799e-03 -4.189263e-03
5.306206e+00 -4.443925e+01 -2.445537e-01 -2.085508e-01 -4.255209e-03 -4.180316e-03
5.379903e+00 -4.436555e+01 -2.542107e-01 -2.182535e-01 -4.209418e-03 -4.170707e-03
5.453601e+00 -4.429185e+01 -2.760437e-01 -2.400904e-01 -4.205588e-03 -4.160499e-03
5.527298e+00 -4.421816e+01 -3.108537e-01 -2.748241e-01 -4.281837e-03 -4.148376e-03
5.600995e+00 -4.414446e+01 -3.563899e-01 -3.203603e-01 -4.281808e-03 -4.135895e-03
5.674693e+00 -4.407076e+01 -4.097182e-01 -3.736910e-01 -4.279513e-03 -4.122696e-03
5.748390e+00 -4.399706e+01 -4.679791e-01 -4.319533e-01 -4.278172e-03 -4.109085e-03
5.822087e+00 -4.392337e+01 -5.286050e-01 -4.925517e-01 -4.305620e-03 -4.094028e-03
5.895785e+00 -4.384967e+01 -5.902669e-01 -5.545102e-01 -4.008997e-03 -4.079735e-03
5.969482e+00 -4.377597e+01 -6.503164e-01 -6.145734e-01 -3.995229e-03 -4.064757e-03
6.043179e+00 -4.370228e+01 -7.040648e-01 -6.683360e-01 -3.981043e-03 -4.049225e-03
6.116876e+00 -4.362858e+01 -7.464415e-01 -7.107263e-01 -3.967512e-03 -4.032971e-03
6.190574e+00 -4.355488e+01 -7.736890e-01 -7.379920e-01 -3.949273e-03 -4.016171e-03
6.264271e+00 -4.348118e+01 -7.838919e-01 -7.482126e-01 -3.931511e-03 -3.998765e-03
6.337968e+00 -4.340749e+01 -7.764347e-01 -7.407801e-01 -3.906894e-03 -3.980803e-03
6.411666e+00 -4.333379e+01 -7.517605e-01 -7.161353e-01 -3.877569e-03 -3.962222e-03
6.485363e+00 -4.326009e+01 -7.115508e-01 -6.759561e-01 -3.846992e-03 -3.943078e-03
6.559060e+00 -4.318639e+01 -6.592676e-01 -6.237018e-01 -3.818143e-03 -3.923322e-03
6.632758e+00 -4.311270e+01 -5.998734e-01 -5.643358e-01 -3.789891e-03 -3.903034e-03
6.706455e+00 -4.303900e+01 -5.382452e-01 -5.026951e-01 -3.802408e-03 -3.882534e-03
6.780152e+00 -4.296530e+01 -4.773899e-01 -4.416060e-01 -4.036237e-03 -3.862045e-03
6.853849e+00 -4.289161e+01 -4.186827e-01 -3.829319e-01 -4.003096e-03 -3.840575e-03
6.927547e+00 -4.281791e+01 -3.643788e-01 -3.286641e-01 -3.966946e-03 -3.818705e-03
7.001244e+00 -4.274421e+01 -3.175376e-01 -2.818550e-01 -3.934938e-03 -3.796750e-03
