# z_Ang d_from_mol_Ang V_A_eV V_B_eV dV_eV dV_mac_eV
0.000000e+00 -6.855545e+01 -7.827272e-01 -7.542772e-01 -3.970807e-03 1.044147e-02
7.141217e-02 -6.848404e+01 -7.744761e-01 -7.460249e-01 -3.972000e-03 9.807778e-03
1.428243e-01 -6.841263e+01 -7.500981e-01 -7.216427e-01 -3.976231e-03 9.174182e-03
2.142365e-01 -6.834122e+01 -7.111514e-01 -6.826972e-01 -3.975039e-03 8.540683e-03
2.856487e-01 -6.826981e+01 -6.607978e-01 -6.323356e-01 -3.983086e-03 7.907295e-03
3.570609e-01 -6.819839e+01 -6.035331e-01 -5.750635e-01 -3.990417e-03 7.273915e-03
4.284730e-01 -6.812698e+01 -5.438634e-01 -5.153939e-01 -3.990298e-03 6.640658e-03
4.998852e-01 -6.805557e+01 -4.845933e-01 -4.567308e-01 -3.383284e-03 6.005610e-03
5.712974e-01 -6.798416e+01 -4.273086e-01 -3.994427e-01 -3.386682e-03 5.371175e-03
6.427095e-01 -6.791274e+01 -3.736292e-01 -3.457578e-01 -3.392195e-03 4.737898e-03
7.141217e-01 -6.784133e+01 -3.265111e-01 -2.986341e-01 -3.397888e-03 4.104545e-03
7.855339e-01 -6.776992e+01 -2.881323e-01 -2.602522e-01 -3.400987e-03 3.469875e-03
8.569461e-01 -6.769851e+01 -2.615652e-01 -2.336011e-01 -3.484955e-03 2.837211e-03
9.283582e-01 -6.762710e+01 -2.467832e-01 -2.188878e-01 -3.416186e-03 2.204700e-03
9.997704e-01 -6.755568e+01 -2.430770e-01 -2.151786e-01 -3.419315e-03 1.572368e-03
1.071183e+00 -6.748427e+01 -2.500938e-01 -2.221382e-01 -3.476432e-03 9.401716e-04
1.142595e+00 -6.741286e+01 -2.671606e-01 -2.391940e-01 -3.487458e-03 3.081998e-04
1.214007e+00 -6.734145e+01 -2.924510e-01 -2.645680e-01 -3.403848e-03 -3.382749e-04
1.285419e+00 -6.727004e+01 -3.223442e-01 -2.944643e-01 -3.400778e-03 -9.847252e-04
1.356831e+00 -6.719862e+01 -3.519232e-01 -3.240395e-01 -3.404533e-03 -1.631119e-03
1.428243e+00 -6.712721e+01 -3.764350e-01 -3.485537e-01 -3.402090e-03 -2.277421e-03
1.499656e+00 -6.705580e+01 -3.924264e-01 -3.645451e-01 -3.402090e-03 -2.923625e-03
1.571068e+00 -6.698439e+01 -3.976516e-01 -3.697692e-01 -3.403222e-03 -3.569780e-03
1.642480e+00 -6.691297e+01 -3.913153e-01 -3.634371e-01 -3.399080e-03 -3.569315e-03
1.713892e+00 -6.684156e+01 -3.743785e-01 -3.465046e-01 -3.394818e-03 -3.568889e-03
1.785304e+00 -6.677015e+01 -3.492087e-01 -3.213395e-01 -3.389960e-03 -3.568523e-03
1.856716e+00 -6.669874e+01 -3.193978e-01 -2.915291e-01 -3.389543e-03 -3.568320e-03
1.928129e+00 -6.662733e+01 -2.897785e-01 -2.619152e-01 -3.384179e-03 -3.568068e-03
1.999541e+00 -6.655591e+01 -2.651951e-01 -2.372530e-01 -3.462976e-03 -3.567820e-03
