# z_Ang d_from_mol_Ang V_A_eV V_B_eV dV_eV dV_mac_eV
4.275109e+00 -3.920035e+01 -2.693763e-01 -2.303293e-01 -4.342206e-03 -4.375099e-03
4.347568e+00 -3.912789e+01 -2.948152e-01 -2.558479e-01 -4.262410e-03 -4.368349e-03
4.420028e+00 -3.905543e+01 -3.250801e-01 -2.861131e-01 -4.262172e-03 -4.361667e-03
4.492487e+00 -3.898297e+01 -3.550423e-01 -3.160807e-01 -4.256718e-03 -4.355032e-03
4.564947e+00 -3.891051e+01 -3.797528e-01 -3.407964e-01 -4.251592e-03 -4.348345e-03
4.637406e+00 -3.883805e+01 -3.956239e-01 -3.566737e-01 -4.245393e-03 -4.341299e-03
4.709866e+00 -3.876559e+01 -4.003558e-01 -3.614115e-01 -4.239522e-03 -4.333869e-03
4.782325e+00 -3.869313e+01 -3.932090e-01 -3.542644e-01 -4.239731e-03 -4.325803e-03
4.854785e+00 -3.862067e+01 -3.752809e-01 -3.363386e-01 -4.237495e-03 -4.316994e-03
4.927244e+00 -3.854821e+01 -3.491341e-01 -3.101931e-01 -4.236154e-03 -4.307329e-03
4.999704e+00 -3.847575e+01 -3.186409e-01 -2.797061e-01 -4.230075e-03 -4.296665e-03
5.072163e+00 -3.840329e+01 -2.889422e-01 -2.500177e-01 -4.219733e-03 -4.284743e-03
5.144623e+00 -3.833083e+01 -2.649734e-01 -2.259771e-01 -4.291512e-03 -4.271682e-03
5.217082e+00 -3.825837e+01 -2.500862e-01 -2.111177e-01 -4.263662e-03 -4.255999e-03
5.289541e+00 -3.818591e+01 -2.458695e-01 -2.068853e-01 -4.279353e-03 -4.240019e-03
5.362001e+00 -3.811345e+01 -2.526917e-01 -2.137149e-01 -4.271992e-03 -4.222568e-03
5.434460e+00 -3.804099e+01 -2.710301e-01 -2.320597e-01 -4.265554e-03 -4.203676e-03
5.506920e+00 -3.796853e+01 -3.018400e-01 -2.629426e-01 -4.192673e-03 -4.183326e-03
5.579379e+00 -3.789608e+01 -3.439904e-01 -3.050986e-01 -4.186980e-03 -4.160874e-03
5.651839e+00 -3.782362e+01 -3.942958e-01 -3.554091e-01 -4.181884e-03 -4.137479e-03
5.724298e+00 -3.775116e+01 -4.503973e-01 -4.115125e-01 -4.179977e-03 -4.112434e-03
5.796758e+00 -3.767870e+01 -5.091932e-01 -4.704418e-01 -4.046582e-03 -4.086521e-03
5.869217e+00 -3.760624e+01 -5.696129e-01 -5.304688e-01 -4.439287e-03 -4.058946e-03
5.941677e+00 -3.753378e+01 -6.296902e-01 -5.905522e-01 -4.433148e-03 -4.031142e-03
6.014136e+00 -3.746132e+01 -6.855239e-01 -6.463999e-01 -4.419200e-03 -4.002245e-03
6.086596e+00 -3.738886e+01 -7.322246e-01 -6.931148e-01 -4.405074e-03 -3.972321e-03
6.159055e+00 -3.731640e+01 -7.655613e-01 -7.264768e-01 -4.379682e-03 -3.941392e-03
6.231515e+00 -3.724394e+01 -7.830215e-01 -7.439644e-01 -4.352205e-03 -3.909414e-03
6.303974e+00 -3.717148e+01 -7.835423e-01 -7.445191e-01 -4.318349e-03 -3.876497e-03
6.376434e+00 -3.709902e+01 -7.670913e-01 -7.281094e-01 -4.277043e-03 -3.842629e-03
6.448893e+00 -3.702656e+01 -7.346575e-01 -6.957225e-01 -4.230194e-03 -3.807979e-03
6.521353e+00 -3.695410e+01 -6.886573e-01 -6.497757e-01 -4.176788e-03 -3.772538e-03
6.593812e+00 -3.688164e+01 -6.332228e-01 -5.944004e-01 -4.117541e-03 -3.736404e-03
6.666271e+00 -3.680918e+01 -5.732577e-01 -5.344976e-01 -4.055314e-03 -3.699575e-03
6.738731e+00 -3.673672e+01 -5.127635e-01 -4.744183e-01 -3.640406e-03 -3.660873e-03
6.811190e+00 -3.666426e+01 -4.537328e-01 -4.154105e-01 -3.617488e-03 -3.621779e-03
6.883650e+00 -3.659180e+01 -3.973543e-01 -3.591018e-01 -3.547750e-03 -3.580917e-03
6.956109e+00 -3.651935e+01 -3.465769e-01 -3.083937e-01 -3.478371e-03 -3.539593e-03
7.028569e+00 -3.644689e+01 -3.038179e-01 -2.657021e-01 -3.410988e-03 -3.498395e-03
7.101028e+00 -3.637443e+01 -2.722009e-01 -2.341031e-01 -3.392957e-03 -3.457654e-03
7.173488e+00 -3.630197e+01 -2.530929e-01 -2.150583e-01 -3.329702e-03 -3.416479e-03
7.245947e+00 -3.622951e+01 -2.455661e-01 -2.075728e-01 -3.288500e-03 -3.374949e-03
7.318407e+00 -3.615705e+01 -2.490949e-01 -2.111631e-01 -3.227018e-03 -3.333018e-03
7.390866e+00 -3.608459e+01 -2.632838e-01 -2.254225e-01 -3.156491e-03 -3.293643e-03
7.463326e+00 -3.601213e+01 -2.867371e-01 -2.489654e-01 -3.066830e-03 -3.252104e-03
7.535785e+00 -3.593967e+01 -3.161795e-01 -2.784551e-01 -3.019623e-03 -3.210339e-03
7.608245e+00 -3.586721e+01 -3.467498e-01 -3.090750e-01 -2.970003e-03 -3.168440e-03
7.680704e+00 -3.579475e+01 -3.732634e-01 -3.356369e-01 -2.921633e-03 -3.126448e-03
7.753164e+00 -3.572229e+01 -3.917571e-01 -3.541819e-01 -2.870344e-03 -3.084350e-03
7.825623e+00 -3.564983e+01 -3.995920e-01 -3.620631e-01 -2.824090e-03 -3.042190e-03
7.898083e+00 -3.557737e+01 -3.955575e-01 -3.580693e-01 -2.783410e-03 -3.000050e-03
7.970542e+00 -3.550491e+01 -3.802868e-01 -3.428344e-01 -2.747528e-03 -2.957871e-03
8.043001e+00 -3.543245e+01 -3.559939e-01 -3.185769e-01 -2.712183e-03 -2.915744e-03
8.115461e+00 -3.535999e+01 -3.261860e-01 -2.888049e-01 -2.676331e-03 -2.873743e-03
8.187920e+00 -3.528753e+01 -2.957419e-01 -2.584010e-01 -2.636097e-03 -2.831829e-03
8.260380e+00 -3.521507e+01 -2.698415e-01 -2.325094e-01 -2.627291e-03 -2.789964e-03
8.332839e+00 -3.514262e+01 -2.523232e-01 -2.150358e-01 -2.582617e-03 -2.755574e-03
8.405299e+00 -3.507016e+01 -2.451663e-01 -2.079392e-01 -2.522282e-03 -2.712927e-03
8.477758e+00 -3.499770e+01 -2.490252e-01 -2.118253e-01 -2.495073e-03 -2.670428e-03
8.550218e+00 -3.492524e+01 -2.642464e-01 -2.270476e-01 -2.494060e-03 -2.627971e-03
8.622677e+00 -3.485278e+01 -2.916749e-01 -2.545292e-01 -2.440803e-03 -2.585542e-03
8.695137e+00 -3.478032e+01 -3.311621e-01 -2.940409e-01 -2.416454e-03 -2.541424e-03
8.767596e+00 -3.470786e+01 -3.794856e-01 -3.423847e-01 -2.396099e-03 -2.497388e-03
8.840056e+00 -3.463540e+01 -4.343697e-01 -3.972879e-01 -2.376936e-03 -2.451805e-03
8.912515e+00 -3.456294e+01 -4.927201e-01 -4.556618e-01 -2.353452e-03 -2.406185e-03
8.984975e+00 -3.449048e+01 -5.529707e-01 -5.156128e-01 -2.653114e-03 -2.361061e-03
9.057434e+00 -3.441802e+01 -6.134283e-01 -5.760862e-01 -2.637260e-03 -2.315994e-03
9.129894e+00 -3.434556e+01 -6.708522e-01 -6.335299e-01 -2.617531e-03 -2.270689e-03
9.202353e+00 -3.427310e+01 -7.204425e-01 -6.831383e-01 -2.599411e-03 -2.224774e-03
9.274812e+00 -3.420064e+01 -7.576374e-01 -7.203631e-01 -2.569489e-03 -2.178229e-03
9.347272e+00 -3.412818e+01 -7.794522e-01 -7.422081e-01 -2.539329e-03 -2.131146e-03
9.419731e+00 -3.405572e+01 -7.844999e-01 -7.472888e-01 -2.506308e-03 -2.083440e-03
9.492191e+00 -3.398326e+01 -7.724850e-01 -7.353168e-01 -2.463333e-03 -2.035069e-03
9.564650e+00 -3.391080e+01 -7.441119e-01 -7.069883e-01 -2.418749e-03 -1.986046e-03
9.637110e+00 -3.383834e+01 -7.013542e-01 -6.642786e-01 -2.370767e-03 -1.936415e-03
9.709569e+00 -3.376589e+01 -6.479208e-01 -6.109008e-01 -2.315216e-03 -1.886081e-03
9.782029e+00 -3.369343e+01 -5.886694e-01 -5.517094e-01 -2.255134e-03 -1.835178e-03
9.854488e+00 -3.362097e+01 -5.280108e-01 -4.911444e-01 -2.161644e-03 -1.781392e-03
9.926948e+00 -3.354851e+01 -4.681783e-01 -4.316898e-01 -1.783632e-03 -1.727119e-03
9.999407e+00 -3.347605e+01 -4.108392e-01 -3.744141e-01 -1.720302e-03 -1.674619e-03
1.007187e+01 -3.340359e+01 -3.582253e-01 -3.218677e-01 -1.652710e-03 -1.621114e-03
1.014433e+01 -3.333113e+01 -3.130906e-01 -2.767992e-01 -1.586549e-03 -1.564027e-03
1.021679e+01 -3.325867e+01 -2.781522e-01 -2.419515e-01 -1.495875e-03 -1.506830e-03
1.028925e+01 -3.318621e+01 -2.557580e-01 -2.196170e-01 -1.436166e-03 -1.450331e-03
1.036170e+01 -3.311375e+01 -2.451352e-01 -2.091019e-01 -1.328416e-03 -1.392853e-03
1.043416e+01 -3.304129e+01 -2.457161e-01 -2.097459e-01 -1.265369e-03 -1.334384e-03
1.050662e+01 -3.296883e+01 -2.571385e-01 -2.212175e-01 -1.216181e-03 -1.274975e-03
1.057908e+01 -3.289637e+01 -2.783185e-01 -2.424847e-01 -1.128949e-03 -1.213872e-03
1.065154e+01 -3.282391e+01 -3.065236e-01 -2.707473e-01 -1.071475e-03 -1.148787e-03
1.072400e+01 -3.275145e+01 -3.372695e-01 -3.015690e-01 -9.956881e-04 -1.082149e-03
1.079646e+01 -3.267899e+01 -3.652577e-01 -3.296327e-01 -9.201691e-04 -1.013854e-03
1.086892e+01 -3.260653e+01 -3.861448e-01 -3.505942e-01 -8.458123e-04 -9.441169e-04
1.094138e+01 -3.253407e+01 -3.969498e-01 -3.614723e-01 -7.727072e-04 -8.730058e-04
1.101384e+01 -3.246161e+01 -3.960366e-01 -3.606283e-01 -7.034466e-04 -8.006000e-04
1.108630e+01 -3.238916e+01 -3.835387e-01 -3.481943e-01 -6.395504e-04 -7.270492e-04
1.115876e+01 -3.231670e+01 -3.613032e-01 -3.260203e-01 -5.780682e-04 -6.523258e-04
1.123122e+01 -3.224424e+01 -3.324905e-01 -2.972737e-01 -5.119666e-04 -5.765725e-04
1.130368e+01 -3.217178e+01 -3.016416e-01 -2.664895e-01 -4.472658e-04 -4.998682e-04
1.137614e+01 -3.209932e+01 -2.740469e-01 -2.390276e-01 -3.144667e-04 -4.222727e-04
1.144860e+01 -3.202686e+01 -2.539929e-01 -2.190392e-01 -2.488866e-04 -3.444131e-04
1.152106e+01 -3.195440e+01 -2.440538e-01 -2.090842e-01 -2.647713e-04 -2.749889e-04
1.159352e+01 -3.188194e+01 -2.449192e-01 -2.100200e-01 -1.943782e-04 -2.051212e-04
1.166598e+01 -3.180948e+01 -2.569163e-01 -2.221722e-01 -3.933161e-05 -1.349700e-04
1.173843e+01 -3.173702e+01 -2.809547e-01 -2.462686e-01 1.869351e-05 -6.462816e-05
1.181089e+01 -3.166456e+01 -3.174578e-01 -2.827660e-01 1.300126e-05 4.873277e-06
1.188335e+01 -3.159210e+01 -3.636569e-01 -3.290276e-01 7.546693e-05 7.643108e-05
1.195581e+01 -3.151964e+01 -4.170461e-01 -3.824785e-01 1.372173e-04 1.461910e-04
1.202827e+01 -3.144718e+01 -4.747021e-01 -4.401984e-01 2.011135e-04 2.159780e-04
1.210073e+01 -3.137472e+01 -5.348691e-01 -5.001386e-01 -2.568215e-05 2.862412e-04
1.217319e+01 -3.130226e+01 -5.954351e-01 -5.608917e-01 1.614168e-04 3.555964e-04
1.224565e+01 -3.122980e+01 -6.540575e-01 -6.196006e-01 2.479032e-04 4.238167e-04
1.231811e+01 -3.115734e+01 -7.061625e-01 -6.717950e-01 3.372505e-04 4.914471e-04
1.239057e+01 -3.108488e+01 -7.469736e-01 -7.126980e-01 4.292205e-04 5.585703e-04
1.246303e+01 -3.101243e+01 -7.730211e-01 -7.388347e-01 5.184487e-04 6.252582e-04
1.253549e+01 -3.093997e+01 -7.825487e-01 -7.484511e-01 6.071404e-04 6.915171e-04
1.260795e+01 -3.086751e+01 -7.749950e-01 -7.409895e-01 6.993487e-04 7.573060e-04
1.268041e+01 -3.079505e+01 -7.507929e-01 -7.168825e-01 7.943586e-04 8.225405e-04
1.275287e+01 -3.072259e+01 -7.115252e-01 -6.777070e-01 8.866265e-04 8.872843e-04
1.282533e+01 -3.065013e+01 -6.604328e-01 -6.267111e-01 9.830669e-04 9.514287e-04
1.289779e+01 -3.057767e+01 -6.022059e-01 -5.685825e-01 1.081474e-03 1.015089e-03
1.297025e+01 -3.050521e+01 -5.415350e-01 -5.080165e-01 1.186319e-03 1.075523e-03
1.304271e+01 -3.043275e+01 -4.812592e-01 -4.477560e-01 1.201607e-03 1.137618e-03
1.311516e+01 -3.036029e+01 -4.231555e-01 -3.897347e-01 1.284011e-03 1.203234e-03
1.318762e+01 -3.028783e+01 -3.689302e-01 -3.355892e-01 1.363792e-03 1.268247e-03
1.326008e+01 -3.021537e+01 -3.216181e-01 -2.883515e-01 1.438148e-03 1.328949e-03
1.333254e+01 -3.014291e+01 -2.835762e-01 -2.503641e-01 1.492687e-03 1.388139e-03
1.340500e+01 -3.007045e+01 -2.578507e-01 -2.247867e-01 1.640819e-03 1.448017e-03
1.347746e+01 -2.999799e+01 -2.442430e-01 -2.112095e-01 1.671262e-03 1.507210e-03
1.354992e+01 -2.992553e+01 -2.418657e-01 -2.088963e-01 1.735471e-03 1.565839e-03
1.362238e+01 -2.985307e+01 -2.504134e-01 -2.175137e-01 1.805134e-03 1.623753e-03
1.369484e+01 -2.978061e+01 -2.691725e-01 -2.363210e-01 1.853324e-03 1.700426e-03
1.376730e+01 -2.970815e+01 -2.958964e-01 -2.630535e-01 1.861997e-03 1.780877e-03
1.383976e+01 -2.963570e+01 -3.264853e-01 -2.936929e-01 1.912422e-03 1.860474e-03
