# z_Ang d_from_mol_Ang V_A_eV V_B_eV dV_eV dV_mac_eV
0.000000e+00 -3.093545e+01 -7.827293e-01 -7.397667e-01 -5.102482e-03 1.609639e-02
7.161038e-02 -3.086384e+01 -7.744339e-01 -7.314684e-01 -5.105402e-03 1.510107e-02
1.432208e-01 -3.079223e+01 -7.499348e-01 -7.069570e-01 -5.117621e-03 1.410619e-02
2.148311e-01 -3.072062e+01 -7.108162e-01 -6.678119e-01 -5.144205e-03 1.311204e-02
2.864415e-01 -3.064901e+01 -6.602644e-01 -6.172302e-01 -5.174067e-03 1.211847e-02
3.580519e-01 -3.057740e+01 -6.028188e-01 -5.597525e-01 -5.206194e-03 1.112542e-02
4.296623e-01 -3.050579e+01 -5.430164e-01 -4.998955e-01 -5.260702e-03 1.013210e-02
5.012726e-01 -3.043418e+01 -4.840882e-01 -4.404320e-01 -5.796071e-03 9.140059e-03
5.728830e-01 -3.036257e+01 -4.267338e-01 -3.830427e-01 -5.830970e-03 8.148340e-03
6.444934e-01 -3.029096e+01 -3.730648e-01 -3.293404e-01 -5.864289e-03 7.157452e-03
7.161038e-01 -3.021935e+01 -3.260453e-01 -2.822915e-01 -5.893733e-03 6.166746e-03
7.877142e-01 -3.014774e+01 -2.878929e-01 -2.441107e-01 -5.922060e-03 5.177471e-03
8.593245e-01 -3.007613e+01 -2.616636e-01 -2.178911e-01 -5.912375e-03 4.188824e-03
9.309349e-01 -3.000452e+01 -2.472656e-01 -2.035275e-01 -5.877953e-03 3.201529e-03
1.002545e+00 -2.993291e+01 -2.439593e-01 -2.002075e-01 -5.891632e-03 2.215356e-03
1.074156e+00 -2.986130e+01 -2.513751e-01 -2.075986e-01 -5.916383e-03 1.230475e-03
1.145766e+00 -2.978969e+01 -2.688890e-01 -2.250949e-01 -5.933937e-03 2.468931e-04
1.217376e+00 -2.971808e+01 -2.945283e-01 -2.506936e-01 -5.974527e-03 -7.238444e-04
1.288987e+00 -2.964647e+01 -3.245919e-01 -2.807911e-01 -5.940612e-03 -1.693109e-03
1.360597e+00 -2.957486e+01 -3.540872e-01 -3.102909e-01 -5.936142e-03 -2.660987e-03
1.432208e+00 -2.950325e+01 -3.782896e-01 -3.344900e-01 -5.939420e-03 -3.627359e-03
1.503818e+00 -2.943164e+01 -3.937623e-01 -3.499611e-01 -5.941030e-03 -4.592344e-03
