# z_Ang d_from_mol_Ang V_A_eV V_B_eV dV_eV dV_mac_eV
0.000000e+00 -3.720545e+01 -7.867995e-01 -7.433765e-01 -6.003760e-03 1.533293e-02
7.266735e-02 -3.713279e+01 -7.782540e-01 -7.348394e-01 -5.995356e-03 1.433839e-02
1.453347e-01 -3.706012e+01 -7.530248e-01 -7.096290e-01 -5.976520e-03 1.334450e-02
2.180021e-01 -3.698745e+01 -7.128032e-01 -6.694357e-01 -5.948268e-03 1.235132e-02
2.906694e-01 -3.691479e+01 -6.609862e-01 -6.176555e-01 -5.911492e-03 1.135875e-02
3.633368e-01 -3.684212e+01 -6.023586e-01 -5.590757e-01 -5.863689e-03 1.036687e-02
4.360041e-01 -3.676945e+01 -5.415906e-01 -4.982667e-01 -5.904697e-03 9.376373e-03
5.086715e-01 -3.669678e+01 -4.817523e-01 -4.383179e-01 -6.015144e-03 8.386355e-03
5.813388e-01 -3.662412e+01 -4.237818e-01 -3.804023e-01 -5.960278e-03 7.398207e-03
6.540062e-01 -3.655145e+01 -3.699719e-01 -3.266501e-01 -5.902551e-03 6.410563e-03
7.266735e-01 -3.647878e+01 -3.233124e-01 -2.800440e-01 -5.849205e-03 5.422210e-03
7.993409e-01 -3.640611e+01 -2.862835e-01 -2.430990e-01 -5.765237e-03 4.434485e-03
8.720083e-01 -3.633345e+01 -2.617531e-01 -2.186111e-01 -5.722739e-03 3.446447e-03
9.446756e-01 -3.626078e+01 -2.492407e-01 -2.061808e-01 -5.640663e-03 2.458693e-03
1.017343e+00 -3.618811e+01 -2.480613e-01 -2.050381e-01 -5.603962e-03 1.471130e-03
1.090010e+00 -3.611544e+01 -2.578590e-01 -2.148518e-01 -5.587958e-03 4.837874e-04
1.162678e+00 -3.604278e+01 -2.777418e-01 -2.347723e-01 -5.550288e-03 -5.014690e-04
1.235345e+00 -3.597011e+01 -3.052669e-01 -2.623150e-01 -5.532674e-03 -1.484832e-03
1.308012e+00 -3.589744e+01 -3.361329e-01 -2.932175e-01 -5.496167e-03 -2.468158e-03
1.380680e+00 -3.582477e+01 -3.650073e-01 -3.221290e-01 -5.459033e-03 -3.451516e-03
1.453347e+00 -3.575211e+01 -3.872995e-01 -3.444629e-01 -5.417340e-03 -4.434800e-03
1.526014e+00 -3.567944e+01 -3.998100e-01 -3.570096e-01 -5.381189e-03 -5.417896e-03
1.598682e+00 -3.560677e+01 -4.006665e-01 -3.579014e-01 -5.345874e-03 -5.390856e-03
1.671349e+00 -3.553411e+01 -3.897345e-01 -3.469974e-01 -5.317830e-03 -5.363496e-03
1.744017e+00 -3.546144e+01 -3.686667e-01 -3.259598e-01 -5.287670e-03 -5.336097e-03
1.816684e+00 -3.538877e+01 -3.404865e-01 -2.978059e-01 -5.261354e-03 -5.308638e-03
1.889351e+00 -3.531610e+01 -3.095792e-01 -2.669283e-01 -5.231641e-03 -5.281260e-03
1.962019e+00 -3.524344e+01 -2.812832e-01 -2.386920e-01 -5.171962e-03 -5.254158e-03
2.034686e+00 -3.517077e+01 -2.601156e-01 -2.175448e-01 -5.151562e-03 -5.225170e-03
2.107353e+00 -3.509810e+01 -2.487694e-01 -2.062791e-01 -5.071111e-03 -5.194543e-03
2.180021e+00 -3.502543e+01 -2.483780e-01 -2.059093e-01 -5.049460e-03 -5.164113e-03
2.252688e+00 -3.495277e+01 -2.592676e-01 -2.167684e-01 -5.079947e-03 -5.133869e-03
2.325355e+00 -3.488010e+01 -2.820060e-01 -2.395338e-01 -5.052917e-03 -5.103809e-03
2.398023e+00 -3.480743e+01 -3.173491e-01 -2.748634e-01 -5.066417e-03 -5.074048e-03
2.470690e+00 -3.473476e+01 -3.628271e-01 -3.203537e-01 -5.054168e-03 -5.044466e-03
2.543357e+00 -3.466210e+01 -4.157542e-01 -3.732890e-01 -5.045973e-03 -5.014476e-03
2.616025e+00 -3.458943e+01 -4.733052e-01 -4.308495e-01 -5.036496e-03 -4.984132e-03
2.688692e+00 -3.451676e+01 -5.329942e-01 -4.906282e-01 -4.946791e-03 -4.954765e-03
2.761359e+00 -3.444410e+01 -5.937793e-01 -5.514947e-01 -4.865371e-03 -4.925418e-03
2.834027e+00 -3.437143e+01 -6.529676e-01 -6.106846e-01 -4.863761e-03 -4.896013e-03
2.906694e+00 -3.429876e+01 -7.060605e-01 -6.637760e-01 -4.865192e-03 -4.866642e-03
2.979362e+00 -3.422609e+01 -7.481866e-01 -7.059054e-01 -4.861973e-03 -4.837221e-03
3.052029e+00 -3.415343e+01 -7.756891e-01 -7.334160e-01 -4.853867e-03 -4.807816e-03
3.124696e+00 -3.408076e+01 -7.866688e-01 -7.444085e-01 -4.841052e-03 -4.778224e-03
3.197364e+00 -3.400809e+01 -7.804794e-01 -7.382413e-01 -4.818879e-03 -4.748608e-03
3.270031e+00 -3.393542e+01 -7.574804e-01 -7.152628e-01 -4.798375e-03 -4.718964e-03
3.342698e+00 -3.386276e+01 -7.191539e-01 -6.769671e-01 -4.767500e-03 -4.689366e-03
3.415366e+00 -3.379009e+01 -6.686466e-01 -6.264932e-01 -4.734240e-03 -4.659694e-03
3.488033e+00 -3.371742e+01 -6.106204e-01 -5.685029e-01 -4.698299e-03 -4.629962e-03
3.560700e+00 -3.364475e+01 -5.498623e-01 -5.077848e-01 -4.658245e-03 -4.600012e-03
3.633368e+00 -3.357209e+01 -4.895827e-01 -4.474653e-01 -4.698180e-03 -4.569971e-03
3.706035e+00 -3.349942e+01 -4.311848e-01 -3.891138e-01 -4.651777e-03 -4.539988e-03
3.778702e+00 -3.342675e+01 -3.765130e-01 -3.344917e-01 -4.602067e-03 -4.509676e-03
3.851370e+00 -3.335408e+01 -3.286601e-01 -2.866842e-01 -4.556619e-03 -4.478826e-03
3.924037e+00 -3.328142e+01 -2.899615e-01 -2.480567e-01 -4.485510e-03 -4.447902e-03
3.996704e+00 -3.320875e+01 -2.635670e-01 -2.216971e-01 -4.450731e-03 -4.416492e-03
4.069372e+00 -3.313608e+01 -2.493190e-01 -2.075486e-01 -4.351072e-03 -4.384681e-03
4.142039e+00 -3.306342e+01 -2.464672e-01 -2.047488e-01 -4.299156e-03 -4.352503e-03
4.214707e+00 -3.299075e+01 -2.547033e-01 -2.129589e-01 -4.325174e-03 -4.319796e-03
4.287374e+00 -3.291808e+01 -2.731817e-01 -2.314741e-01 -4.288383e-03 -4.297910e-03
4.360041e+00 -3.284541e+01 -2.997701e-01 -2.580826e-01 -4.268281e-03 -4.275242e-03
4.432709e+00 -3.277275e+01 -3.303989e-01 -2.887465e-01 -4.233204e-03 -4.252225e-03
4.505376e+00 -3.270008e+01 -3.597860e-01 -3.181728e-01 -4.193924e-03 -4.228742e-03
4.578043e+00 -3.262741e+01 -3.831508e-01 -3.415786e-01 -4.152916e-03 -4.204581e-03
4.650711e+00 -3.255474e+01 -3.971091e-01 -3.555811e-01 -4.108749e-03 -4.179856e-03
4.723378e+00 -3.248208e+01 -3.995887e-01 -3.580971e-01 -4.072361e-03 -4.154452e-03
4.796045e+00 -3.240941e+01 -3.901848e-01 -3.487224e-01 -4.043154e-03 -4.128355e-03
4.868713e+00 -3.233674e+01 -3.703223e-01 -3.288881e-01 -4.014961e-03 -4.101126e-03
4.941380e+00 -3.226407e+01 -3.428377e-01 -3.014330e-01 -3.985457e-03 -4.072935e-03
5.014047e+00 -3.219141e+01 -3.119190e-01 -2.705466e-01 -3.953151e-03 -4.043597e-03
5.086715e+00 -3.211874e+01 -2.828629e-01 -2.415596e-01 -3.884114e-03 -4.012908e-03
5.159382e+00 -3.204607e+01 -2.603974e-01 -2.191184e-01 -3.859781e-03 -3.980875e-03
5.232050e+00 -3.197341e+01 -2.474978e-01 -2.062967e-01 -3.781848e-03 -3.935674e-03
5.304717e+00 -3.190074e+01 -2.454647e-01 -2.042994e-01 -3.746040e-03 -3.889216e-03
5.377384e+00 -3.182807e+01 -2.546608e-01 -2.134881e-01 -3.753416e-03 -3.841678e-03
5.450052e+00 -3.175540e+01 -2.755796e-01 -2.344372e-01 -3.723182e-03 -3.792873e-03
5.522719e+00 -3.168274e+01 -3.091307e-01 -2.679957e-01 -3.715776e-03 -3.743351e-03
5.595386e+00 -3.161007e+01 -3.533394e-01 -3.122338e-01 -3.686301e-03 -3.691285e-03
5.668054e+00 -3.153740e+01 -4.052859e-01 -3.642044e-01 -3.662311e-03 -3.640214e-03
5.740721e+00 -3.146473e+01 -4.623303e-01 -4.212809e-01 -3.630094e-03 -3.588174e-03
5.813388e+00 -3.139207e+01 -5.221980e-01 -4.807731e-01 -4.005693e-03 -3.532657e-03
5.886056e+00 -3.131940e+01 -5.829080e-01 -5.415981e-01 -3.890656e-03 -3.476742e-03
5.958723e+00 -3.124673e+01 -6.425367e-01 -6.012434e-01 -3.874026e-03 -3.421100e-03
6.031390e+00 -3.117406e+01 -6.967704e-01 -6.554958e-01 -3.855430e-03 -3.364658e-03
6.104058e+00 -3.110140e+01 -7.406802e-01 -6.994379e-01 -3.823064e-03 -3.307369e-03
6.176725e+00 -3.102873e+01 -7.703770e-01 -7.291670e-01 -3.790699e-03 -3.249294e-03
6.249392e+00 -3.095606e+01 -7.837334e-01 -7.425655e-01 -3.748678e-03 -3.190598e-03
6.322060e+00 -3.088339e+01 -7.799486e-01 -7.388327e-01 -3.696702e-03 -3.131150e-03
6.394727e+00 -3.081073e+01 -7.592359e-01 -7.181892e-01 -3.627501e-03 -3.071062e-03
6.467395e+00 -3.073806e+01 -7.229021e-01 -6.819276e-01 -3.555320e-03 -3.010442e-03
6.540062e+00 -3.066539e+01 -6.738276e-01 -6.329356e-01 -3.472708e-03 -2.949190e-03
6.612729e+00 -3.059273e+01 -6.165175e-01 -5.757197e-01 -3.378652e-03 -2.887162e-03
6.685397e+00 -3.052006e+01 -5.558622e-01 -5.151622e-01 -3.280841e-03 -2.824286e-03
6.758064e+00 -3.044739e+01 -4.948614e-01 -4.546876e-01 -2.754532e-03 -2.760837e-03
6.830731e+00 -3.037472e+01 -4.361024e-01 -3.960291e-01 -2.654068e-03 -2.699002e-03
6.903399e+00 -3.030206e+01 -3.806783e-01 -3.407011e-01 -2.557926e-03 -2.636880e-03
6.976066e+00 -3.022939e+01 -3.316987e-01 -2.918214e-01 -2.458028e-03 -2.573627e-03
7.048733e+00 -3.015672e+01 -2.914568e-01 -2.516815e-01 -2.356075e-03 -2.509489e-03
7.121401e+00 -3.008405e+01 -2.632279e-01 -2.235968e-01 -2.211876e-03 -2.445414e-03
7.194068e+00 -3.001139e+01 -2.473822e-01 -2.078080e-01 -2.155028e-03 -2.381323e-03
7.266735e+00 -2.993872e+01 -2.429254e-01 -2.034447e-01 -2.061404e-03 -2.317223e-03
7.339403e+00 -2.986605e+01 -2.494911e-01 -2.101339e-01 -1.937978e-03 -2.253248e-03
